Date,Description,Investment,Asset Code,Pot,Account,No. Shares,Share Price (£),Total Value (£)
09-Jun-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0965,29.1921,2.82
09-Jun-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.5251,12.4747,6.55
09-Jun-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0146,222.7045,3.25
09-Jun-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.5042,31.6656,15.97
09-Jun-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.2414,20.2685,4.89
01-Jun-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,7.03
30-May-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0291,39.4108,1.15
30-May-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0066,351.8314,2.32
30-May-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.1839,9.7045,1.78
30-May-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.1736,33.7107,5.85
30-May-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.0691,15.1929,1.05
30-May-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.0527,15.3165,0.81
30-May-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0122,33.0617,0.4
30-May-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.0749,20.4714,1.53
30-May-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.1064,24.7835,2.64
30-May-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0116,135.4592,1.57
30-May-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0405,20.819,0.84
30-May-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,0.7682,7.3316,5.63
30-May-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0023,225.0045,0.52
30-May-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.0921,12.1578,1.12
30-May-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0313,340.7921,10.67
30-May-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.1831,11.4508,2.1
30-May-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0223,88.9943,1.98
30-May-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.1125,12.8296,1.44
30-May-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.0812,32.0806,2.6
30-May-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0148,29.5289,0.44
30-May-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.0518,18.266,0.95
30-May-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.3925,7.5182,2.95
12-May-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.7191,11.9315,8.58
12-May-22,Sale,XDN0,XDN0,My Nutmeg Pot,ISA,0.0242,36.5857,0.89
12-May-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.4547,13.9253,6.33
12-May-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,1.2466,9.354,11.66
12-May-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,5.0255,6.8036,34.19
12-May-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0432,327.4994,14.15
12-May-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.2067,19.3949,4.01
12-May-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.35,17.2121,6.02
12-May-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.3541,14.2568,5.05
12-May-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.1683,83.28,14.02
12-May-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,1.0634,31.8206,33.84
12-May-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,9.7953,7.0941,69.49
12-May-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0714,31.3811,2.24
12-May-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.7299,23.476,17.14
12-May-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.2149,328.02,70.49
12-May-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0853,128.0451,10.92
12-May-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,1.1087,11.1067,12.31
12-May-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0949,29.0617,2.76
12-May-22,Sale,VMID,VMID,My Nutmeg Pot,ISA,1.1858,29.9085,35.47
12-May-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.5879,11.4738,6.75
12-May-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0181,207.0041,3.75
12-May-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.2564,20.1266,5.16
10-May-22,Dividend,CASH,XSFN,My Nutmeg Pot,ISA,0,0,5.48
10-May-22,Dividend,CASH,XDN0,My Nutmeg Pot,ISA,0,0,5.67
03-May-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,6.88
28-Apr-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1033,15.3515,1.59
28-Apr-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.7065,7.3987,5.23
28-Apr-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.3417,33.1657,11.33
28-Apr-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.1747,32.1056,5.61
28-Apr-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0129,355.5503,4.59
28-Apr-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0239,32.959,0.79
28-Apr-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0226,135.488,3.06
28-Apr-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0437,88.2212,3.86
28-Apr-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,1.5089,7.4407,11.23
28-Apr-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0292,29.0742,0.85
28-Apr-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.1811,12.1183,2.19
28-Apr-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0614,347.85,21.36
28-Apr-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.3608,9.9622,3.59
28-Apr-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.2212,13.0721,2.89
28-Apr-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1358,15.4937,2.1
28-Apr-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1015,18.222,1.85
28-Apr-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3603,11.236,4.05
28-Apr-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0797,21.5064,1.71
28-Apr-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.2656,38.9758,10.35
28-Apr-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2089,24.7049,5.16
28-Apr-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.4112,20.4544,8.41
28-Apr-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0043,219.1544,0.94
13-Apr-22,Dividend,CASH,VMID,My Nutmeg Pot,ISA,0,0,2.42
13-Apr-22,Dividend,CASH,VUKE,My Nutmeg Pot,ISA,0,0,7.31
13-Apr-22,Dividend,CASH,ISF,My Nutmeg Pot,ISA,0,0,3.27
